合约代码,结算价,交易手续费率(‰),交易手续费额(元/手),交割手续费,投机买保证金率(%),投机卖保证金率(%),套保买保证金率(%),套保卖保证金率(%),平今折扣率(%)
cu2203,70960,0.050,0,0,10,10,10,10,200
cu2204,71030,0.050,0,0,10,10,10,10,200
cu2205,71020,0.050,0,0,10,10,10,10,200
cu2206,70980,0.050,0,0,10,10,10,10,200
cu2207,70930,0.050,0,0,10,10,10,10,200
cu2208,70930,0.050,0,0,10,10,10,10,200
cu2209,70990,0.050,0,0,10,10,10,10,200
cu2210,70940,0.050,0,0,10,10,10,10,200
cu2211,70980,0.050,0,0,10,10,10,10,200
cu2212,70930,0.050,0,0,10,10,10,10,200
cu2301,70850,0.050,0,0,10,10,10,10,200
cu2302,70740,0.050,0,0,10,10,10,10,200
bc2203,62740,0.010,0,0,10,10,10,10,0
bc2204,63070,0.010,0,0,10,10,10,10,0
bc2205,63240,0.010,0,0,10,10,10,10,0
bc2206,63260,0.010,0,0,10,10,10,10,0
bc2207,62950,0.010,0,0,10,10,10,10,0
bc2208,63560,0.010,0,0,10,10,10,10,0
bc2209,62000,0.010,0,0,10,10,10,10,0
bc2210,62800,0.010,0,0,10,10,10,10,0
bc2211,63030,0.010,0,0,10,10,10,10,0
bc2212,62710,0.010,0,0,10,10,10,10,0
bc2301,62270,0.010,0,0,10,10,10,10,0
bc2302,62270,0.010,0,0,10,10,10,10,0
al2203,22800,0.000,3,0,10,10,10,10,100
al2204,22835,0.000,3,0,10,10,10,10,100
al2205,22840,0.000,3,0,10,10,10,10,100
al2206,22820,0.000,3,0,10,10,10,10,100
al2207,22790,0.000,3,0,10,10,10,10,100
al2208,22735,0.000,3,0,10,10,10,10,100
al2209,22565,0.000,3,0,10,10,10,10,100
al2210,22655,0.000,3,0,10,10,10,10,100
al2211,22680,0.000,3,0,10,10,10,10,100
al2212,22660,0.000,3,0,10,10,10,10,100
al2301,22630,0.000,3,0,10,10,10,10,100
al2302,22800,0.000,3,0,10,10,10,10,100
zn2203,24745,0.000,3,0,10,10,10,10,0
zn2204,24765,0.000,3,0,10,10,10,10,0
zn2205,24800,0.000,3,0,10,10,10,10,0
zn2206,24805,0.000,3,0,10,10,10,10,0
zn2207,24710,0.000,3,0,10,10,10,10,0
zn2208,24565,0.000,3,0,10,10,10,10,0
zn2209,24680,0.000,3,0,10,10,10,10,0
zn2210,24515,0.000,3,0,10,10,10,10,0
zn2211,24655,0.000,3,0,10,10,10,10,0
zn2212,24570,0.000,3,0,10,10,10,10,0
zn2301,24650,0.000,3,0,10,10,10,10,0
zn2302,24560,0.000,3,0,10,10,10,10,0
pb2203,15520,0.040,0,0,10,10,10,10,0
pb2204,15570,0.040,0,0,10,10,10,10,0
pb2205,15590,0.040,0,0,10,10,10,10,0
pb2206,15615,0.040,0,0,10,10,10,10,0
pb2207,15585,0.040,0,0,10,10,10,10,0
pb2208,15605,0.040,0,0,10,10,10,10,0
pb2209,15540,0.040,0,0,10,10,10,10,0
pb2210,15550,0.040,0,0,10,10,10,10,0
pb2211,15555,0.040,0,0,10,10,10,10,0
pb2212,15590,0.040,0,0,10,10,10,10,0
pb2301,15570,0.040,0,0,10,10,10,10,0
pb2302,15525,0.040,0,0,10,10,10,10,0
ni2203,179240,0.000,3,0,14,14,14,14,1500
ni2204,177720,0.000,3,0,14,14,14,14,500
ni2205,176390,0.000,3,0,14,14,14,14,500
ni2206,175310,0.000,3,0,14,14,14,14,100
ni2207,175500,0.000,3,0,14,14,14,14,100
ni2208,171330,0.000,3,0,14,14,14,14,100
ni2209,175000,0.000,3,0,14,14,14,14,100
ni2210,173760,0.000,3,0,14,14,14,14,100
ni2211,169110,0.000,3,0,14,14,14,14,100
ni2212,169920,0.000,3,0,14,14,14,14,100
ni2301,168680,0.000,3,0,14,14,14,14,100
ni2302,170410,0.000,3,0,14,14,14,14,100
sn2203,340330,0.000,3,0,14,14,14,14,2000
sn2204,339500,0.000,3,0,14,14,14,14,100
sn2205,338690,0.000,3,0,14,14,14,14,100
sn2206,336990,0.000,3,0,14,14,14,14,100
sn2207,334610,0.000,3,0,14,14,14,14,100
sn2208,328150,0.000,3,0,14,14,14,14,100
sn2209,331140,0.000,3,0,14,14,14,14,100
sn2210,329720,0.000,3,0,14,14,14,14,100
sn2211,326400,0.000,3,0,14,14,14,14,100
sn2212,325740,0.000,3,0,14,14,14,14,100
sn2301,326610,0.000,3,0,14,14,14,14,100
sn2302,325310,0.000,3,0,14,14,14,14,100
au2203,390.56,0.000,2,0.00,10,10,10,10,0
au2204,393.14,0.000,10,0.00,8,8,8,8,0
au2205,395.56,0.000,2,0.00,8,8,8,8,0
au2206,394.70,0.000,10,0.00,8,8,8,8,0
au2208,395.40,0.000,2,0.00,8,8,8,8,0
au2210,395.44,0.000,2,0.00,8,8,8,8,0
au2212,397.82,0.000,10,0.00,8,8,8,8,0
au2302,397.66,0.000,2,0.00,8,8,8,8,0
ag2203,4988,0.050,0,0.00,12,12,12,12,100
ag2204,5058,0.050,0,0.00,12,12,12,12,100
ag2205,5069,0.010,0,0.00,12,12,12,12,100
ag2206,5071,0.050,0,0.00,12,12,12,12,100
ag2207,5087,0.010,0,0.00,12,12,12,12,100
ag2208,5095,0.010,0,0.00,12,12,12,12,100
ag2209,5091,0.010,0,0.00,12,12,12,12,100
ag2210,5089,0.010,0,0.00,12,12,12,12,100
ag2211,5147,0.010,0,0.00,12,12,12,12,100
ag2212,5118,0.050,0,0.00,12,12,12,12,100
ag2301,5135,0.010,0,0.00,12,12,12,12,100
ag2302,5194,0.010,0,0.00,12,12,12,12,100
rb2203,4656,0.100,0,0,10,10,10,10,100
rb2204,4686,0.100,0,0,10,10,10,10,100
rb2205,4603,0.100,0,0,10,10,10,10,300
rb2206,4553,0.100,0,0,10,10,10,10,100
rb2207,4539,0.100,0,0,10,10,10,10,100
rb2208,4481,0.100,0,0,10,10,10,10,100
rb2209,4464,0.100,0,0,10,10,10,10,100
rb2210,4418,0.100,0,0,10,10,10,10,100
rb2211,4362,0.100,0,0,10,10,10,10,100
rb2212,4342,0.100,0,0,10,10,10,10,100
rb2301,4293,0.100,0,0,10,10,10,10,100
rb2302,4259,0.100,0,0,10,10,10,10,100
wr2203,5151,0.040,0,0,10,10,10,10,0
wr2204,5064,0.040,0,0,10,10,10,10,0
wr2205,4916,0.040,0,0,10,10,10,10,0
wr2206,4895,0.040,0,0,10,10,10,10,0
wr2207,5065,0.040,0,0,10,10,10,10,0
wr2208,4917,0.040,0,0,10,10,10,10,0
wr2209,4966,0.040,0,0,10,10,10,10,0
wr2210,4806,0.040,0,0,10,10,10,10,0
wr2211,4213,0.040,0,0,10,10,10,10,0
wr2212,4623,0.040,0,0,10,10,10,10,0
wr2301,4616,0.040,0,0,10,10,10,10,0
wr2302,4616,0.040,0,0,10,10,10,10,0
hc2203,4854,0.100,0,0,10,10,10,10,100
hc2204,4832,0.100,0,0,10,10,10,10,100
hc2205,4783,0.100,0,0,10,10,10,10,300
hc2206,4742,0.100,0,0,10,10,10,10,100
hc2207,4730,0.100,0,0,10,10,10,10,100
hc2208,4705,0.100,0,0,10,10,10,10,100
hc2209,4688,0.100,0,0,10,10,10,10,100
hc2210,4649,0.100,0,0,10,10,10,10,100
hc2211,4632,0.100,0,0,10,10,10,10,100
hc2212,4597,0.100,0,0,10,10,10,10,100
hc2301,4510,0.100,0,0,10,10,10,10,100
hc2302,4519,0.100,0,0,10,10,10,10,100
ss2203,18115,0.000,2,0,14,14,14,14,2000
ss2204,18100,0.000,2,0,14,14,14,14,0
ss2205,18025,0.000,2,0,14,14,14,14,0
ss2206,17880,0.000,2,0,14,14,14,14,0
ss2207,17820,0.000,2,0,14,14,14,14,0
ss2208,17435,0.000,2,0,14,14,14,14,0
ss2209,17525,0.000,2,0,14,14,14,14,0
ss2210,17525,0.000,2,0,14,14,14,14,0
ss2211,17310,0.000,2,0,14,14,14,14,0
ss2212,17250,0.000,2,0,14,14,14,14,0
ss2301,17175,0.000,2,0,14,14,14,14,0
ss2302,16850,0.000,2,0,14,14,14,14,0
sc2203,609.2,0.000,20,0.00,20.0,20.0,20.0,20.0,0.0
sc2204,621.8,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2205,609.9,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2206,598.3,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2207,591.7,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2208,585.7,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2209,571.2,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2210,565.4,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2211,556.2,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2212,561.9,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2301,542.5,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2302,549.2,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2303,550.0,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2306,539.6,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2309,530.6,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2312,517.2,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2403,518.8,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2406,506.4,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2409,506.9,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
sc2412,494.0,0.000,20,0.00,10.0,10.0,10.0,10.0,0.0
lu2203,4174,0.010,0,0,20,20,20,20,100
lu2204,4530,0.010,0,0,10,10,10,10,100
lu2205,4494,0.010,0,0,10,10,10,10,100
lu2206,4414,0.010,0,0,10,10,10,10,100
lu2207,4348,0.010,0,0,10,10,10,10,100
lu2208,4237,0.010,0,0,10,10,10,10,100
lu2209,4282,0.010,0,0,10,10,10,10,100
lu2210,4225,0.010,0,0,10,10,10,10,100
lu2211,4194,0.010,0,0,10,10,10,10,100
lu2212,3997,0.010,0,0,10,10,10,10,100
lu2301,4117,0.010,0,0,10,10,10,10,100
lu2302,3860,0.010,0,0,10,10,10,10,100
fu2203,3463,0.050,0,0,20,20,20,20,0
fu2204,3415,0.050,0,0,10,10,10,10,0
fu2205,3443,0.050,0,0,10,10,10,10,1500
fu2206,3402,0.010,0,0,10,10,10,10,0
fu2207,3415,0.010,0,0,10,10,10,10,0
fu2208,3414,0.010,0,0,10,10,10,10,0
fu2209,3391,0.050,0,0,10,10,10,10,0
fu2210,3270,0.010,0,0,10,10,10,10,0
fu2211,3252,0.010,0,0,10,10,10,10,0
fu2212,3261,0.010,0,0,10,10,10,10,0
fu2301,3267,0.050,0,0,10,10,10,10,0
fu2302,3309,0.010,0,0,10,10,10,10,0
bu2203,3494,0.100,0,0,10,10,10,10,100
bu2204,3514,0.100,0,0,10,10,10,10,100
bu2205,3512,0.100,0,0,10,10,10,10,100
bu2206,3542,0.100,0,0,10,10,10,10,100
bu2207,3552,0.100,0,0,10,10,10,10,100
bu2208,3584,0.100,0,0,10,10,10,10,100
bu2209,3576,0.100,0,0,10,10,10,10,100
bu2212,3570,0.100,0,0,10,10,10,10,100
bu2303,3530,0.100,0,0,10,10,10,10,100
bu2306,3548,0.100,0,0,10,10,10,10,100
bu2309,3492,0.100,0,0,10,10,10,10,100
bu2312,3486,0.100,0,0,10,10,10,10,100
ru2203,13860,0.000,3,0,10,10,10,10,0
ru2204,13975,0.000,3,0,10,10,10,10,0
ru2205,14055,0.000,3,0,10,10,10,10,300
ru2206,14135,0.000,3,0,10,10,10,10,0
ru2207,14190,0.000,3,0,10,10,10,10,0
ru2208,14250,0.000,3,0,10,10,10,10,0
ru2209,14290,0.000,3,0,10,10,10,10,0
ru2210,14270,0.000,3,0,10,10,10,10,0
ru2211,14355,0.000,3,0,10,10,10,10,0
ru2301,15270,0.000,3,0,10,10,10,10,0
nr2203,11685,0.020,0,0,10,10,10,10,0
nr2204,11800,0.020,0,0,10,10,10,10,0
nr2205,11900,0.020,0,0,10,10,10,10,0
nr2206,11965,0.020,0,0,10,10,10,10,0
nr2207,12035,0.020,0,0,10,10,10,10,0
nr2208,12100,0.020,0,0,10,10,10,10,0
nr2209,12025,0.020,0,0,10,10,10,10,0
nr2210,12095,0.020,0,0,10,10,10,10,0
nr2211,11765,0.020,0,0,10,10,10,10,0
nr2212,11610,0.020,0,0,10,10,10,10,0
nr2301,11880,0.020,0,0,10,10,10,10,0
nr2302,11560,0.020,0,0,10,10,10,10,0
sp2203,6612,0.050,0,0,10,10,10,10,500
sp2204,6652,0.050,0,0,9,9,9,9,500
sp2205,6682,0.050,0,0,9,9,9,9,500
sp2206,6666,0.050,0,0,9,9,9,9,0
sp2207,6650,0.050,0,0,9,9,9,9,0
sp2208,6636,0.050,0,0,9,9,9,9,0
sp2209,6618,0.050,0,0,9,9,9,9,0
sp2210,6578,0.050,0,0,9,9,9,9,0
sp2211,6508,0.050,0,0,9,9,9,9,0
sp2212,6540,0.050,0,0,9,9,9,9,0
sp2301,6586,0.050,0,0,9,9,9,9,0
sp2302,6530,0.050,0,0,9,9,9,9,0
