,合约代码,open,closeToday
0,cu2203,35.48,70.96
1,cu2204,35.515,71.03
2,cu2205,35.51,71.02
3,cu2206,35.49,70.98
4,cu2207,35.465,70.93
5,cu2208,35.465,70.93
6,cu2209,35.495,70.99
7,cu2210,35.47,70.94
8,cu2211,35.49,70.98
9,cu2212,35.465,70.93
10,cu2301,35.425,70.85
11,cu2302,35.37,70.74
12,bc2203,6.274,0.0
13,bc2204,6.307,0.0
14,bc2205,6.324,0.0
15,bc2206,6.3260000000000005,0.0
16,bc2207,6.295,0.0
17,bc2208,6.356,0.0
18,bc2209,6.2,0.0
19,bc2210,6.28,0.0
20,bc2211,6.303000000000001,0.0
21,bc2212,6.271,0.0
22,bc2301,6.227,0.0
23,bc2302,6.227,0.0
24,al2203,3.0,3.0
25,al2204,3.0,3.0
26,al2205,3.0,3.0
27,al2206,3.0,3.0
28,al2207,3.0,3.0
29,al2208,3.0,3.0
30,al2209,3.0,3.0
31,al2210,3.0,3.0
32,al2211,3.0,3.0
33,al2212,3.0,3.0
34,al2301,3.0,3.0
35,al2302,3.0,3.0
36,zn2203,3.0,0.0
37,zn2204,3.0,0.0
38,zn2205,3.0,0.0
39,zn2206,3.0,0.0
40,zn2207,3.0,0.0
41,zn2208,3.0,0.0
42,zn2209,3.0,0.0
43,zn2210,3.0,0.0
44,zn2211,3.0,0.0
45,zn2212,3.0,0.0
46,zn2301,3.0,0.0
47,zn2302,3.0,0.0
48,pb2203,6.208000000000001,0.0
49,pb2204,6.228000000000001,0.0
50,pb2205,6.236000000000001,0.0
51,pb2206,6.246,0.0
52,pb2207,6.234,0.0
53,pb2208,6.242000000000001,0.0
54,pb2209,6.216,0.0
55,pb2210,6.22,0.0
56,pb2211,6.222,0.0
57,pb2212,6.236000000000001,0.0
58,pb2301,6.228000000000001,0.0
59,pb2302,6.21,0.0
60,ni2203,3.0,45.0
61,ni2204,3.0,15.0
62,ni2205,3.0,15.0
63,ni2206,3.0,3.0
64,ni2207,3.0,3.0
65,ni2208,3.0,3.0
66,ni2209,3.0,3.0
67,ni2210,3.0,3.0
68,ni2211,3.0,3.0
69,ni2212,3.0,3.0
70,ni2301,3.0,3.0
71,ni2302,3.0,3.0
72,sn2203,3.0,60.0
73,sn2204,3.0,3.0
74,sn2205,3.0,3.0
75,sn2206,3.0,3.0
76,sn2207,3.0,3.0
77,sn2208,3.0,3.0
78,sn2209,3.0,3.0
79,sn2210,3.0,3.0
80,sn2211,3.0,3.0
81,sn2212,3.0,3.0
82,sn2301,3.0,3.0
83,sn2302,3.0,3.0
84,au2203,2.0,0.0
85,au2204,10.0,0.0
86,au2205,2.0,0.0
87,au2206,10.0,0.0
88,au2208,2.0,0.0
89,au2210,2.0,0.0
90,au2212,10.0,0.0
91,au2302,2.0,0.0
92,ag2203,2.494,2.494
93,ag2204,2.529,2.529
94,ag2205,0.5069,0.5069
95,ag2206,2.5355000000000003,2.5355000000000003
96,ag2207,0.5087,0.5087
97,ag2208,0.5095000000000001,0.5095000000000001
98,ag2209,0.5091,0.5091
99,ag2210,0.5089,0.5089
100,ag2211,0.5146999999999999,0.5146999999999999
101,ag2212,2.559,2.559
102,ag2301,0.5135000000000001,0.5135000000000001
103,ag2302,0.5194,0.5194
104,rb2203,4.656000000000001,4.656000000000001
105,rb2204,4.686,4.686
106,rb2205,4.603,13.809
107,rb2206,4.553,4.553
108,rb2207,4.539000000000001,4.539000000000001
109,rb2208,4.481,4.481
110,rb2209,4.464,4.464
111,rb2210,4.418,4.418
112,rb2211,4.362,4.362
113,rb2212,4.3420000000000005,4.3420000000000005
114,rb2301,4.293,4.293
115,rb2302,4.259,4.259
116,wr2203,2.0604,0.0
117,wr2204,2.0256,0.0
118,wr2205,1.9664000000000001,0.0
119,wr2206,1.9580000000000002,0.0
120,wr2207,2.026,0.0
121,wr2208,1.9668,0.0
122,wr2209,1.9864000000000002,0.0
123,wr2210,1.9224,0.0
124,wr2211,1.6852,0.0
125,wr2212,1.8492000000000002,0.0
126,wr2301,1.8464,0.0
127,wr2302,1.8464,0.0
128,hc2203,4.854,4.854
129,hc2204,4.832000000000001,4.832000000000001
130,hc2205,4.783,14.349
131,hc2206,4.742000000000001,4.742000000000001
132,hc2207,4.73,4.73
133,hc2208,4.705,4.705
134,hc2209,4.688,4.688
135,hc2210,4.649,4.649
136,hc2211,4.632000000000001,4.632000000000001
137,hc2212,4.597,4.597
138,hc2301,4.51,4.51
139,hc2302,4.519,4.519
140,ss2203,2.0,40.0
141,ss2204,2.0,0.0
142,ss2205,2.0,0.0
143,ss2206,2.0,0.0
144,ss2207,2.0,0.0
145,ss2208,2.0,0.0
