time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,type,duration
2022-05-12 14:08:10 704:987:495,1,0,0,ag2212.SHFE,SELL,OPEN,4758,1,insert,1652335690704987495
2022-05-12 14:08:16 203:376:475,1,0,0,ag2212.SHFE,SELL,OPEN,4758,1,cancel,1652194963228749643
2022-05-12 14:08:16 207:262:257,2,0,0,ag2212.SHFE,SELL,OPEN,4757,1,insert,1652335696207262257
2022-05-12 14:08:21 216:646:659,2,0,0,ag2212.SHFE,SELL,OPEN,4757,1,cancel,1652335701201656195
2022-05-12 14:08:21 219:420:391,3,0,0,ag2212.SHFE,SELL,OPEN,4756,1,insert,1652335701219420391
2022-05-12 14:08:25 215:221:878,3,0,0,ag2212.SHFE,SELL,OPEN,4756,1,cancel,1652335705200231414
2022-05-12 14:08:25 218:782:946,4,0,0,ag2212.SHFE,SELL,OPEN,4755,1,insert,1652335705218782946
2022-05-12 14:08:32 714:442:380,4,0,0,ag2212.SHFE,SELL,OPEN,4755,1,cancel,1652335712699451916
2022-05-12 14:08:32 717:449:255,5,0,0,ag2212.SHFE,SELL,OPEN,4754,1,insert,1652335712717449255
2022-05-12 14:08:59 867:765:377,6,0,0,ag2206.SHFE,BUY,OPEN,4710,1,insert,1652335739852703009
2022-05-12 14:08:59 868:312:857,7,0,0,ag2206.SHFE,BUY,OPEN,4711,1,insert,1652335739853250489
2022-05-12 14:08:59 868:818:338,8,0,0,ag2206.SHFE,BUY,OPEN,4712,1,insert,1652335739853755970
2022-05-12 14:08:59 869:367:080,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4752,1,insert,1652335739869367077
2022-05-12 14:09:00 701:246:275,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4752,1,cancel,1652335740686255811
2022-05-12 14:09:00 705:383:895,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4753,1,insert,1652335740700799715
2022-05-12 14:09:17 357:546:286,11,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4711,1,insert,1652335757342483918
2022-05-12 14:09:17 358:304:650,12,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4710,1,insert,1652335757343242282
2022-05-12 14:09:17 703:194:914,13,0,0,ag2212.SHFE,BUY,OPEN,4751,1,insert,1652335757703194909
2022-05-12 14:09:37 355:174:598,14,0,0,ag2206.SHFE,SELL,OPEN,4710,1,insert,1652335777340112230
2022-05-12 14:09:37 355:689:981,15,0,0,ag2206.SHFE,SELL,OPEN,4709,1,insert,1652335777340627613
2022-05-12 14:09:37 356:244:098,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4753,1,insert,1652335777356244091
2022-05-12 14:09:47 205:999:694,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4753,1,cancel,1652335787191009230
2022-05-12 14:09:47 208:958:739,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4752,1,insert,1652335787204374559
2022-05-12 14:10:15 706:285:421,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4752,1,cancel,1652335815691294957
2022-05-12 14:10:15 710:951:974,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4751,1,insert,1652335815706367794
2022-05-12 14:10:37 714:261:120,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4751,1,cancel,1652335837699270656
2022-05-12 14:10:37 718:030:287,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4750,1,insert,1652335837713446107
2022-05-12 14:10:47 710:928:135,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4750,1,cancel,1652335847695937671
2022-05-12 14:10:47 715:509:657,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4749,1,insert,1652335847710925477
2022-05-12 14:10:50 712:525:423,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4749,1,cancel,1652335850697534959
2022-05-12 14:10:50 714:875:358,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4748,1,insert,1652335850710291178
2022-05-12 14:10:58 096:763:041,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4704,1,insert,1652335858081700673
2022-05-12 14:10:58 097:334:885,23,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4705,1,insert,1652335858082272517
2022-05-12 14:10:58 197:873:789,24,0,0,ag2212.SHFE,BUY,OPEN,4746,2,insert,1652335858182892501
2022-05-12 14:11:20 365:265:120,25,0,0,ag2206.SHFE,SELL,OPEN,4705,2,insert,1652335880350202752
2022-05-12 14:11:20 365:791:755,26,0,0,ag2206.SHFE,SELL,OPEN,4704,2,insert,1652335880350729387
