time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-12 14:08:10 704:814:651,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335690704814651
2022-05-12 14:08:10 713:762:339,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335690713762339
2022-05-12 14:08:16 207:118:191,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335696207118191
2022-05-12 14:08:16 207:187:842,2,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335696207187842
2022-05-12 14:08:16 213:648:724,2,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335696213648724
2022-05-12 14:08:21 219:279:501,2,0,0,ag2212.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335701219279501
2022-05-12 14:08:21 219:345:812,3,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335701219345812
2022-05-12 14:08:21 227:820:772,3,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335701227820772
2022-05-12 14:08:25 218:644:405,3,0,0,ag2212.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335705218644405
2022-05-12 14:08:25 218:711:158,4,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335705218711158
2022-05-12 14:08:25 223:412:569,4,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335705223412569
2022-05-12 14:08:32 717:304:175,4,0,0,ag2212.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335712717304175
2022-05-12 14:08:32 717:372:762,5,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335712717372762
2022-05-12 14:08:32 720:425:508,5,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335712720425508
2022-05-12 14:08:59 867:559:502,5,0,0,ag2212.SHFE,SELL,OPEN,0,0,NONE,NONE,1652335739867559502
2022-05-12 14:08:59 867:583:836,5,0,0,ag2212.SHFE,SELL,OPEN,4754,1,ALL_TRADED,NONE,1652335739867583836
2022-05-12 14:08:59 867:676:225,6,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652335739852613857
2022-05-12 14:08:59 868:179:299,6,0,0,ag2206.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652335739853116931
2022-05-12 14:08:59 868:240:499,7,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652335739853178131
2022-05-12 14:08:59 868:680:107,7,0,0,ag2206.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652335739853617739
2022-05-12 14:08:59 868:746:734,8,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652335739853684366
2022-05-12 14:08:59 869:186:167,8,0,0,ag2206.SHFE,BUY,OPEN,0,0,NONE,NONE,1652335739854123799
2022-05-12 14:08:59 869:200:053,8,0,0,ag2206.SHFE,BUY,OPEN,4712,1,ALL_TRADED,NONE,1652335739854137685
2022-05-12 14:08:59 869:292:595,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652335739869292592
2022-05-12 14:08:59 869:746:949,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335739869746946
2022-05-12 14:09:00 705:239:895,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652335740705239892
2022-05-12 14:09:00 705:309:491,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652335740700725311
2022-05-12 14:09:00 715:939:888,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335740711355708
2022-05-12 14:09:17 357:345:419,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NONE,NONE,1652335757352761239
2022-05-12 14:09:17 357:354:205,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4753,1,ALL_TRADED,NONE,1652335757352770025
2022-05-12 14:09:17 357:471:973,11,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335757342409605
2022-05-12 14:09:17 358:169:310,11,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335757343106942
2022-05-12 14:09:17 358:231:710,12,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335757343169342
2022-05-12 14:09:17 358:705:426,12,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,NONE,NONE,1652335757343643058
2022-05-12 14:09:17 358:711:685,12,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4710,1,ALL_TRADED,NONE,1652335757343649317
2022-05-12 14:09:17 703:117:810,13,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652335757703117805
2022-05-12 14:09:17 705:926:260,13,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652335757705926255
2022-05-12 14:09:37 354:980:909,13,0,0,ag2212.SHFE,BUY,OPEN,0,0,NONE,NONE,1652335777354980904
2022-05-12 14:09:37 355:004:980,13,0,0,ag2212.SHFE,BUY,OPEN,4751,1,ALL_TRADED,NONE,1652335777355004975
2022-05-12 14:09:37 355:096:637,14,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335777340034269
2022-05-12 14:09:37 355:551:601,14,0,0,ag2206.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652335777340489233
2022-05-12 14:09:37 355:620:074,15,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652335777340557706
2022-05-12 14:09:37 356:076:809,15,0,0,ag2206.SHFE,SELL,OPEN,0,0,NONE,NONE,1652335777341014441
2022-05-12 14:09:37 356:083:249,15,0,0,ag2206.SHFE,SELL,OPEN,4709,1,ALL_TRADED,NONE,1652335777341020881
2022-05-12 14:09:37 356:173:330,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335777356173323
2022-05-12 14:09:37 356:651:396,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335777356651389
2022-05-12 14:09:47 208:818:800,16,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335787208818793
2022-05-12 14:09:47 208:884:770,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335787204300590
2022-05-12 14:09:47 210:951:167,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335787206366987
2022-05-12 14:10:15 710:780:287,17,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335815706196107
2022-05-12 14:10:15 710:874:997,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335815706290817
2022-05-12 14:10:15 718:486:925,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335815713902745
2022-05-12 14:10:37 717:924:001,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335837713339821
2022-05-12 14:10:37 717:838:045,18,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335837713253865
2022-05-12 14:10:37 723:481:324,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335837718897144
2022-05-12 14:10:47 715:385:068,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335847710800888
2022-05-12 14:10:47 715:307:941,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335847710723761
2022-05-12 14:10:47 719:365:019,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335847714780839
2022-05-12 14:10:50 714:753:271,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652335850710169091
2022-05-12 14:10:50 714:666:253,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652335850710082073
2022-05-12 14:10:50 718:685:154,21,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652335850714100974
