交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:铜,,,,,,,,,,,,,
2203,70960,70700,70960,70550, , , , ,18931,670050.79,47310,-5726,
2204,71030,70660,71020,70530, , , , ,55509,1965074.21,132095,-898,
2205,71020,70710,71030,70530, , , , ,16933,599480.01,79841,-66,
2206,70980,70600,70980,70530, , , , ,5015,177493.97,32656,440,
2207,70930,70790,70930,70550, , , , ,698,24703.08,13784,181,
2208,70930,70750,70920,70600, , , , ,146,5164.82,5432,42,
2209,70990,70410,70860,70410, , , , ,50,1766.27,5488,27,
2210,70940,70650,70830,70650, , , , ,36,1272.67,2030,31,
2211,70980,70500,70740,70500, , , , ,93,3279.66,2373,-80,
2212,70930,70700,70700,70670, , , , ,2,70.69,977,0,
2301,70850,70680,70680,70420, , , , ,9,317.61,130,6,
2302,70740,70540,70540,70540, , , , ,1,35.27,60,1,
小计, , , , , , , , ,97423,3448709.02,322176 / -6042,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:铜(BC),,,,,,,,,,,,,
2203,62740,62730,64160,61320, , , , ,44,1383.19,2315,-16,
2204,63070,62540,63060,62540, , , , ,9264,291028.5,5359,25,
2205,63240,62970,63170,62760, , , , ,3738,117717.06,8809,-44,
2206,63260,62980,63170,62820, , , , ,1016,32010.27,1601,263,
2207,62950,62880,63120,62800, , , , ,266,8374.28,86,4,
2208,63560,63310,63310,62590, , , , ,116,3653.25,16,13,
2209,62000, , , , , , , ,0,0,0,0,
2210,62800, , , , , , , ,0,0,0,0,
2211,63030, , , , , , , ,0,0,0,0,
2212,62710, , , , , , , ,0,0,0,0,
2301,62270, , , , , , , ,0,0,0,0,
2302,62270, , , , , , , ,0,0,0,0,
小计, , , , , , , , ,14444,454166.54,18186 / 245,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:铝,,,,,,,,,,,,,
2203,22800,22330,22765,22320, , , , ,31518,356456.92,52203,-9384,
2204,22835,22370,22770,22305, , , , ,256826,2901510.55,215553,-4356,
2205,22840,22340,22760,22315, , , , ,72973,824774.99,114147,3172,
2206,22820,22290,22730,22285, , , , ,17200,194300.52,48035,807,
2207,22790,22355,22710,22295, , , , ,3748,42353.56,14251,1530,
2208,22735,22335,22680,22335, , , , ,166,1876.56,5472,60,
2209,22565,22400,22655,22290, , , , ,702,7874.4,10178,515,
2210,22655,22435,22630,22340, , , , ,125,1409.32,5312,46,
2211,22680,22425,22650,22335, , , , ,44,496.07,3889,28,
2212,22660,22280,22610,22280, , , , ,39,437.84,360,23,
2301,22630,22300,22750,22240, , , , ,237,2666.99,339,53,
2302,22800,22300,22625,22215, , , , ,34,382.09,51,-2,
小计, , , , , , , , ,383612,4334539.79,469790 / -7508,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:锌,,,,,,,,,,,,,
2203,24745,24800,25070,24715, , , , ,13153,163711.01,24326,-3833,
2204,24765,24860,25100,24725, , , , ,143921,1790702.58,130096,-4663,
2205,24800,24770,25120,24760, , , , ,40344,502482.71,61845,-235,
2206,24805,24755,25090,24735, , , , ,7896,98376.66,31413,1068,
2207,24710,24750,25045,24745, , , , ,160,1991.48,2408,57,
2208,24565,24835,25075,24775, , , , ,21,261.55,410,-1,
2209,24680,24835,24970,24810, , , , ,5,62.16,197,1,
2210,24515,24610,24865,24610, , , , ,212,2609.41,142,-201,
2211,24655,24685,24695,24685, , , , ,4,49.38,235,1,
2212,24570,24675,24675,24675, , , , ,1,12.34,35,1,
2301,24650,24685,24685,24685, , , , ,2,24.69,40,-1,
2302,24560, , , , , , , ,0,0,7,0,
小计, , , , , , , , ,205719,2560283.96,251154 / -7806,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:铅,,,,,,,,,,,,,
2203,15520,15585,15585,15395, , , , ,3751,29096.97,8053,-1094,
2204,15570,15545,15630,15435, , , , ,56969,442384.58,55915,-278,
2205,15590,15605,15650,15465, , , , ,16937,131739.09,22472,1367,
2206,15615,15620,15670,15495, , , , ,2592,20230.09,6249,407,
2207,15585,15510,15680,15510, , , , ,26,203.18,1518,16,
2208,15605, , , , , , , ,0,0,82,0,
2209,15540, , , , , , , ,0,0,693,0,
2210,15550,15520,15655,15520, , , , ,7,54.57,2608,1,
2211,15555,15505,15590,15505, , , , ,3,23.32,1082,1,
2212,15590,15510,15510,15500, , , , ,2,15.51,280,1,
2301,15570,15610,15610,15545, , , , ,9,70.14,342,-1,
2302,15525,15485,15530,15470, , , , ,3,23.24,20,-1,
小计, , , , , , , , ,80299,623840.69,99314 / 419,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:镍,,,,,,,,,,,,,
2203,179240,176490,181860,174500, , , , ,23846,422999.02,11929,-13452,
2204,177720,174450,179950,172120, , , , ,282777,4974184.44,141132,-16849,
2205,176390,172380,178000,170710, , , , ,68575,1193048.84,79621,-4070,
2206,175310,171360,176360,169430, , , , ,24657,425341.18,22549,104,
2207,175500,170220,174600,168480, , , , ,950,16256.77,3782,394,
2208,171330,170450,172500,169050, , , , ,11,187.17,2269,0,
2209,175000,169140,173680,167150, , , , ,2318,39101.86,5824,1779,
2210,173760,168850,172660,166800, , , , ,785,13323.14,4458,763,
2211,169110,165780,171980,165780, , , , ,114,1944.34,1139,98,
2212,169920,165540,170870,165540, , , , ,215,3652.5,1314,195,
2301,168680,165500,171590,164840, , , , ,156,2654.09,1464,111,
2302,170410,166710,171040,164930, , , , ,127,2130.24,506,115,
小计, , , , , , , , ,404531,7094823.58,275987 / -30812,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:锡,,,,,,,,,,,,,
2203,340330,336100,341200,333510, , , , ,5617,189770.86,5113,-2814,
2204,339500,335400,340100,331720, , , , ,18568,625270.16,13749,63,
2205,338690,335880,339300,330820, , , , ,58393,1958981.49,34674,1298,
2206,336990,334500,337210,329390, , , , ,1103,36841.78,1967,91,
2207,334610,330600,334300,326580, , , , ,100,3311.5,1306,-14,
2208,328150,328720,330490,321700, , , , ,50,1634.42,1141,19,
2209,331140,326420,327040,319520, , , , ,190,6151.23,1382,11,
2210,329720,324600,326270,314880, , , , ,102,3262.99,814,28,
2211,326400,321210,321970,315310, , , , ,42,1343.54,76,25,
2212,325740,322040,322260,307720, , , , ,51,1614.89,109,22,
2301,326610,322080,324810,313270, , , , ,55,1747.34,151,13,
