合约代码,合约乘数,最小变动单位
cu2203,5,10
cu2204,5,10
cu2205,5,10
cu2206,5,10
cu2207,5,10
cu2208,5,10
cu2209,5,10
cu2210,5,10
cu2211,5,10
cu2212,5,10
cu2301,5,10
cu2302,5,10
bc2203,5,10
bc2204,5,10
bc2205,5,10
bc2206,5,10
bc2207,5,10
bc2208,5,10
bc2209,5,10
bc2210,5,10
bc2211,5,10
bc2212,5,10
bc2301,5,10
bc2302,5,10
al2203,5,5
al2204,5,5
al2205,5,5
al2206,5,5
al2207,5,5
al2208,5,5
al2209,5,5
al2210,5,5
al2211,5,5
al2212,5,5
al2301,5,5
al2302,5,5
zn2203,5,5
zn2204,5,5
zn2205,5,5
zn2206,5,5
zn2207,5,5
zn2208,5,5
zn2209,5,5
zn2210,5,5
zn2211,5,5
zn2212,5,5
zn2301,5,5
zn2302,5,5
pb2203,5,5
pb2204,5,5
pb2205,5,5
pb2206,5,5
pb2207,5,5
pb2208,5,5
pb2209,5,5
pb2210,5,5
pb2211,5,5
pb2212,5,5
pb2301,5,5
pb2302,5,5
ni2203,1,10
ni2204,1,10
ni2205,1,10
ni2206,1,10
ni2207,1,10
ni2208,1,10
ni2209,1,10
ni2210,1,10
ni2211,1,10
ni2212,1,10
ni2301,1,10
ni2302,1,10
sn2203,1,10
sn2204,1,10
sn2205,1,10
sn2206,1,10
sn2207,1,10
sn2208,1,10
sn2209,1,10
sn2210,1,10
sn2211,1,10
sn2212,1,10
sn2301,1,10
sn2302,1,10
au2203,1000,0.02
au2204,1000,0.02
au2205,1000,0.02
au2206,1000,0.02
au2208,1000,0.02
au2210,1000,0.02
au2212,1000,0.02
au2302,1000,0.02
ag2203,15,1
ag2204,15,1
ag2205,15,1
ag2206,15,1
ag2207,15,1
ag2208,15,1
ag2209,15,1
ag2210,15,1
ag2211,15,1
ag2212,15,1
ag2301,15,1
ag2302,15,1
rb2203,10,1
rb2204,10,1
rb2205,10,1
rb2206,10,1
rb2207,10,1
rb2208,10,1
rb2209,10,1
rb2210,10,1
rb2211,10,1
rb2212,10,1
rb2301,10,1
rb2302,10,1
wr2203,10,1
wr2204,10,1
wr2205,10,1
wr2206,10,1
wr2207,10,1
wr2208,10,1
wr2209,10,1
wr2210,10,1
wr2211,10,1
wr2212,10,1
wr2301,10,1
wr2302,10,1
hc2203,10,1
hc2204,10,1
hc2205,10,1
hc2206,10,1
hc2207,10,1
hc2208,10,1
hc2209,10,1
hc2210,10,1
hc2211,10,1
hc2212,10,1
hc2301,10,1
hc2302,10,1
ss2203,5,5
ss2204,5,5
ss2205,5,5
ss2206,5,5
ss2207,5,5
ss2208,5,5
ss2209,5,5
ss2210,5,5
ss2211,5,5
ss2212,5,5
ss2301,5,5
ss2302,5,5
sc2204,1000,0.1
sc2205,1000,0.1
sc2206,1000,0.1
sc2207,1000,0.1
sc2208,1000,0.1
sc2209,1000,0.1
sc2210,1000,0.1
sc2211,1000,0.1
sc2212,1000,0.1
sc2301,1000,0.1
sc2302,1000,0.1
sc2303,1000,0.1
sc2306,1000,0.1
sc2309,1000,0.1
sc2312,1000,0.1
sc2403,1000,0.1
sc2406,1000,0.1
sc2409,1000,0.1
sc2412,1000,0.1
sc2503,1000,0.1
lu2204,10,1
lu2205,10,1
lu2206,10,1
lu2207,10,1
lu2208,10,1
lu2209,10,1
lu2210,10,1
lu2211,10,1
lu2212,10,1
lu2301,10,1
lu2302,10,1
lu2303,10,1
fu2204,10,1
fu2205,10,1
fu2206,10,1
fu2207,10,1
fu2208,10,1
fu2209,10,1
fu2210,10,1
fu2211,10,1
fu2212,10,1
fu2301,10,1
fu2302,10,1
fu2303,10,1
bu2203,10,2
bu2204,10,2
bu2205,10,2
bu2206,10,2
bu2207,10,2
bu2208,10,2
bu2209,10,2
bu2212,10,2
bu2303,10,2
bu2306,10,2
bu2309,10,2
bu2312,10,2
ru2203,10,5
ru2204,10,5
ru2205,10,5
ru2206,10,5
ru2207,10,5
ru2208,10,5
ru2209,10,5
ru2210,10,5
ru2211,10,5
ru2301,10,5
nr2203,10,5
nr2204,10,5
nr2205,10,5
nr2206,10,5
nr2207,10,5
nr2208,10,5
nr2209,10,5
nr2210,10,5
nr2211,10,5
nr2212,10,5
nr2301,10,5
nr2302,10,5
sp2203,10,2
sp2204,10,2
sp2205,10,2
sp2206,10,2
sp2207,10,2
sp2208,10,2
sp2209,10,2
sp2210,10,2
sp2211,10,2
sp2212,10,2
sp2301,10,2
sp2302,10,2
