"序号","投资者","用户描述","合约","买卖","开平","状态","委托价格","成交均价","总手数","未成交","已成交","投保","有效期","报单时间","强平原因","详细状态","终端产品","单号","合约名","交易所","交易单元","本地单号","品种",
"1714","""138411""","138411","ni2209","买　","开仓","已撤单","161110","-","1","1","0","投机","当日有效","00:24:20","非强平","已撤单","InfiniV8_1","      176277","沪镍2209","上期所","-1","000000026673|-290971658|3","ni",
"1713","""138411""","138411","ni2209","买　","开仓","已撤单","161120","-","1","1","0","投机","当日有效","00:24:20","非强平","已撤单","InfiniV8_1","      176275","沪镍2209","上期所","-1","000000026657|-290971658|3","ni",
"1712","""138411""","138411","ni2209","买　","开仓","已撤单","160940","-","1","1","0","投机","当日有效","00:24:08","非强平","已撤单","InfiniV8_1","      176165","沪镍2209","上期所","-1","000000026641|-290971658|3","ni",
"1711","""138411""","138411","ni2209","买　","开仓","已撤单","160940","-","1","1","0","投机","当日有效","00:24:06","非强平","已撤单","InfiniV8_1","      176154","沪镍2209","上期所","-1","000000026625|-290971658|3","ni",
"1710","""138411""","138411","ni2209","买　","开仓","已撤单","160910","-","1","1","0","投机","当日有效","00:22:11","非强平","已撤单","InfiniV8_1","      175698","沪镍2209","上期所","-1","000000026609|-290971658|3","ni",
"1709","""138411""","138411","ni2209","买　","开仓","已撤单","160880","-","1","1","0","投机","当日有效","00:22:10","非强平","已撤单","InfiniV8_1","      175692","沪镍2209","上期所","-1","000000026593|-290971658|3","ni",
"1708","""138411""","138411","ni2209","买　","开仓","已撤单","161030","-","1","1","0","投机","当日有效","00:21:41","非强平","已撤单","InfiniV8_1","      175545","沪镍2209","上期所","-1","000000026577|-290971658|3","ni",
"1707","""138411""","138411","ni2209","买　","开仓","已撤单","161080","-","1","1","0","投机","当日有效","00:21:37","非强平","已撤单","InfiniV8_1","      175522","沪镍2209","上期所","-1","000000026561|-290971658|3","ni",
"1706","""138411""","138411","ni2209","买　","开仓","已撤单","161020","-","1","1","0","投机","当日有效","00:21:36","非强平","已撤单","InfiniV8_1","      175512","沪镍2209","上期所","-1","000000026545|-290971658|3","ni",
"1705","""138411""","138411","ni2209","买　","开仓","已撤单","161080","-","1","1","0","投机","当日有效","00:20:45","非强平","已撤单","InfiniV8_1","      175262","沪镍2209","上期所","-1","000000026529|-290971658|3","ni",
