time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-09 09:53:04 659:814:929,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652061184659814929
2022-05-09 09:53:04 668:125:402,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652061184668125402
2022-05-09 09:53:12 170:412:864,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652061192170412864
2022-05-09 09:53:12 170:483:740,2,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652061192170483740
2022-05-09 09:53:12 173:612:900,2,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652061192173612900
2022-05-09 09:54:42 859:522:228,2,0,0,ag2212.SHFE,SELL,OPEN,0,0,NONE,NONE,1652061282859522228
2022-05-09 09:54:42 859:552:578,2,0,0,ag2212.SHFE,SELL,OPEN,4883,1,ALL_TRADED,NONE,1652061282859552578
2022-05-09 09:54:42 859:696:431,3,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652061282831138063
2022-05-09 09:54:42 860:263:090,3,0,0,ag2206.SHFE,BUY,OPEN,0,0,NONE,NONE,1652061282831704722
2022-05-09 09:54:42 860:283:387,3,0,0,ag2206.SHFE,BUY,OPEN,4836,1,ALL_TRADED,NONE,1652061282831725019
2022-05-09 09:54:42 860:363:736,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652061282860363735
2022-05-09 09:54:42 860:799:532,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652061282860799531
2022-05-09 09:54:44 167:746:405,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652061284167746404
2022-05-09 09:54:44 167:814:247,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652061284163231683
2022-05-09 09:54:44 170:633:963,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652061284166051399
2022-05-09 09:55:44 574:807:529,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NONE,NONE,1652061344570224965
2022-05-09 09:55:44 574:846:778,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4882,1,ALL_TRADED,NONE,1652061344570264214
2022-05-09 09:55:44 574:974:884,6,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652061344546416516
2022-05-09 09:55:44 575:444:333,6,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,NONE,NONE,1652061344546885965
2022-05-09 09:55:44 575:451:359,6,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4834,1,ALL_TRADED,NONE,1652061344546892991
2022-05-09 09:55:44 662:714:516,7,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652061344662714514
2022-05-09 09:55:44 666:315:192,7,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652061344666315190
2022-05-09 09:56:01 682:065:826,7,0,0,ag2212.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652061361682065824
2022-05-09 09:56:01 682:134:806,8,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652061361682134804
2022-05-09 09:56:01 690:518:968,8,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652061361690518966
2022-05-09 09:56:55 176:345:312,8,0,0,ag2212.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652061415176345310
2022-05-09 09:56:55 176:455:785,9,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652061415176455783
2022-05-09 09:56:55 192:167:199,9,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652061415192167197
2022-05-09 09:57:08 659:983:018,9,0,0,ag2212.SHFE,BUY,OPEN,0,0,NONE,NONE,1652061428659983016
