,明细,运行状态,套利编号,组合名称,买卖,报单方式,触发条件,价差,止盈触发价,止损触发价,超价,成交均价,成交滑点,止盈均价,止盈滑点,止损均价,止损滑点,成交数量,剩余数量,成交预警,每份报单手数,份数进度,总手数,循环进度,追单次数,拆单,创建时间,终止时间,开始时间,结束时间,组合腿合约,组合腿账号,备注,组合腿开平,组合腿方向,类型,时态,MEMO
,,已暂停,套利[C34],ni09-08,买,主动-A 优先-中性,对手价<=-5250,-5250,--,--,1,--,--,--,--,--,--,0:0,2:2,,1:1,0/2,2:2,--,10,是,00:04:05,,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:开仓;B:开仓,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C33],ni09-08,卖,主动-A 优先-中性,对手价>=-5100,-5100,--,--,1,-5100.00,0,--,--,--,--,1:1,0:0,,1:1,1/1,1:1,--,10,是,00:02:44,00:03:27,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:平今;B:平今,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C31],ni09-08,卖,主动-A 优先-中性,对手价>=-5150,-5150,--,--,1,-5175.00,25.00,--,--,--,--,2:2,0:0,,1:1,2/2,2:2,--,10,是,23:50:44,23:51:57,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:平今;B:平今,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C30],ni09-08,买,主动-A 优先-中性,对手价<=-5250,-5250,--,--,1,-5275.00,-25.00,--,--,--,--,2:2,0:0,,1:1,2/2,2:2,--,10,是,23:43:05,23:50:09,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:开仓;B:开仓,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C29],ni09-08,卖,主动-A 优先-中性,对手价>=-5160,-5160,--,--,1,-5150.00,-10.00,--,--,--,--,1:1,0:0,,1:1,1/1,1:1,--,10,是,23:42:01,23:42:01,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:平今;B:平今,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C28],ni09-08,买,主动-A 优先-中性,对手价<=-5250,-5250,--,--,1,-5255.00,-5.00,--,--,--,--,2:2,0:0,,1:1,2/2,2:2,--,10,是,23:26:31,23:49:58,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:开仓;B:开仓,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C27],ni09-08,卖,主动-A 优先-中性,对手价>=-5250,-5250,--,--,1,-5220.00,-30.00,--,--,--,--,2:2,0:0,,1:1,2/2,2:2,--,10,是,23:17:18,23:22:19,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:平今;B:平今,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C26],ni09-08,买,主动-A 优先-中性,对手价<=-5200,-5200,--,--,1,-5480.00,-280.00,--,--,--,--,2:2,0:0,,1:1,2/2,2:2,--,10,是,23:14:55,23:16:17,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:开仓;B:开仓,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C25],ni09-08,卖,主动-A 优先-中性,对手价>=-5100,-5100,--,--,1,-5053.33,-46.67,--,--,--,--,3:3,0:0,,1:1,3/3,3:3,--,10,是,23:13:29,23:14:44,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:平今;B:平今,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已完成,套利[C24],ni09-08,买,主动-A 优先-中性,对手价<=-5200,-5200,--,--,1,-5190.00,10.00,--,--,--,--,2:2,0:0,,1:1,2/2,2:2,--,10,是,23:12:23,23:12:35,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:开仓;B:开仓,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
,,已暂停,套利[C23],ni09-08,卖,主动-A 优先-中性,对手价>=-5000,-5000,--,--,1,-4940.0,-60.0,--,--,--,--,1:1,1:1,,1:1,1/2,2:2,--,10,是,23:08:20,,,,A:ni2209; B:ni2208,A:？？？？？？？？′？？？-138411; B:？？？？？？？？′？？？-138411,,A:平今;B:平今,A:买;B:卖,A:投机;B:投机,A:GFD;B:GFD,
