序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部
1714,138411,？？？？？？？？′？？？,176277,000000026673,SHFE,ni2209,ni2209,买,开仓,161110,1,撤单,4281.0,0,1,0,00:24:20,00:24:20,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1713,138411,？？？？？？？？′？？？,176275,000000026657,SHFE,ni2209,ni2209,买,开仓,161120,1,撤单,4281.0,0,1,0,00:24:20,00:24:20,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1712,138411,？？？？？？？？′？？？,176165,000000026641,SHFE,ni2209,ni2209,买,开仓,160940,1,撤单,4281.0,0,1,0,00:24:08,00:24:08,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1711,138411,？？？？？？？？′？？？,176154,000000026625,SHFE,ni2209,ni2209,买,开仓,160940,1,撤单,4281.0,0,1,0,00:24:06,00:24:07,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1710,138411,？？？？？？？？′？？？,175698,000000026609,SHFE,ni2209,ni2209,买,开仓,160910,1,撤单,4281.0,0,1,0,00:22:11,00:22:11,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1709,138411,？？？？？？？？′？？？,175692,000000026593,SHFE,ni2209,ni2209,买,开仓,160880,1,撤单,4281.0,0,1,0,00:22:10,00:22:11,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1708,138411,？？？？？？？？′？？？,175545,000000026577,SHFE,ni2209,ni2209,买,开仓,161030,1,撤单,4281.0,0,1,0,00:21:41,00:21:42,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1707,138411,？？？？？？？？′？？？,175522,000000026561,SHFE,ni2209,ni2209,买,开仓,161080,1,撤单,4281.0,0,1,0,00:21:37,00:21:37,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1706,138411,？？？？？？？？′？？？,175512,000000026545,SHFE,ni2209,ni2209,买,开仓,161020,1,撤单,4281.0,0,1,0,00:21:36,00:21:37,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1705,138411,？？？？？？？？′？？？,175262,000000026529,SHFE,ni2209,ni2209,买,开仓,161080,1,撤单,4281.0,0,1,0,00:20:45,00:20:46,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1704,138411,？？？？？？？？′？？？,175247,000000026513,SHFE,ni2209,ni2209,买,开仓,161090,1,撤单,4281.0,0,1,0,00:20:37,00:20:37,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1703,138411,？？？？？？？？′？？？,175236,000000026497,SHFE,ni2209,ni2209,买,开仓,161080,1,撤单,4281.0,0,1,0,00:20:36,00:20:37,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1702,138411,？？？？？？？？′？？？,175234,000000026481,SHFE,ni2209,ni2209,买,开仓,160940,1,撤单,4281.0,0,1,0,00:20:36,00:20:36,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1701,138411,？？？？？？？？′？？？,175190,000000026465,SHFE,ni2209,ni2209,买,开仓,161160,1,撤单,4281.0,0,1,0,00:20:24,00:20:24,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1700,138411,？？？？？？？？′？？？,175125,000000026449,SHFE,ni2209,ni2209,买,开仓,161110,1,撤单,4281.0,0,1,0,00:20:15,00:20:15,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1699,138411,？？？？？？？？′？？？,174960,000000026433,SHFE,ni2209,ni2209,买,开仓,161170,1,撤单,4281.0,0,1,0,00:19:59,00:19:59,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1698,138411,？？？？？？？？′？？？,174919,000000026417,SHFE,ni2209,ni2209,买,开仓,161080,1,撤单,4281.0,0,1,0,00:19:50,00:19:50,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1697,138411,？？？？？？？？′？？？,174855,000000026401,SHFE,ni2209,ni2209,买,开仓,161150,1,撤单,4281.0,0,1,0,00:19:39,00:19:39,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1696,138411,？？？？？？？？′？？？,174831,000000026385,SHFE,ni2209,ni2209,买,开仓,161130,1,撤单,4281.0,0,1,0,00:19:35,00:19:35,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1695,138411,？？？？？？？？′？？？,174820,000000026369,SHFE,ni2209,ni2209,买,开仓,160880,1,撤单,4281.0,0,1,0,00:19:34,00:19:35,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1694,138411,？？？？？？？？′？？？,174816,000000026353,SHFE,ni2209,ni2209,买,开仓,161070,1,撤单,4281.0,0,1,0,00:19:34,00:19:34,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1693,138411,？？？？？？？？′？？？,174640,000000026337,SHFE,ni2209,ni2209,买,开仓,160930,1,撤单,4281.0,0,1,0,00:18:37,00:18:37,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1692,138411,？？？？？？？？′？？？,174597,000000026321,SHFE,ni2209,ni2209,买,开仓,160930,1,撤单,4281.0,0,1,0,00:18:26,00:18:27,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1691,138411,？？？？？？？？′？？？,174545,000000026305,SHFE,ni2209,ni2209,买,开仓,160920,1,撤单,4281.0,0,1,0,00:18:11,00:18:12,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1690,138411,？？？？？？？？′？？？,174525,000000026289,SHFE,ni2209,ni2209,买,开仓,160950,1,撤单,4281.0,0,1,0,00:18:07,00:18:08,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1689,138411,？？？？？？？？′？？？,174476,000000026273,SHFE,ni2209,ni2209,买,开仓,160910,1,撤单,4281.0,0,1,0,00:18:01,00:18:02,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1688,138411,？？？？？？？？′？？？,174134,000000026257,SHFE,ni2209,ni2209,买,开仓,160980,1,撤单,4281.0,0,1,0,00:16:26,00:16:27,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1687,138411,？？？？？？？？′？？？,174086,000000026241,SHFE,ni2209,ni2209,买,开仓,160980,1,撤单,4281.0,0,1,0,00:16:19,00:16:20,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1686,138411,？？？？？？？？′？？？,174081,000000026225,SHFE,ni2209,ni2209,买,开仓,160980,1,撤单,4281.0,0,1,0,00:16:18,00:16:18,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1685,138411,？？？？？？？？′？？？,174070,000000026209,SHFE,ni2209,ni2209,买,开仓,160980,1,撤单,4281.0,0,1,0,00:16:15,00:16:15,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1684,138411,？？？？？？？？′？？？,174055,000000026193,SHFE,ni2209,ni2209,买,开仓,161020,1,撤单,4281.0,0,1,0,00:16:07,00:16:08,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1683,138411,？？？？？？？？′？？？,174048,000000026177,SHFE,ni2209,ni2209,买,开仓,160870,1,撤单,4281.0,0,1,0,00:16:07,00:16:07,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1682,138411,？？？？？？？？′？？？,173992,000000026161,SHFE,ni2209,ni2209,买,开仓,161220,1,撤单,4281.0,0,1,0,00:15:54,00:15:55,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1681,138411,？？？？？？？？′？？？,173986,000000026145,SHFE,ni2209,ni2209,买,开仓,161210,1,撤单,4281.0,0,1,0,00:15:54,00:15:54,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1680,138411,？？？？？？？？′？？？,173982,000000026129,SHFE,ni2209,ni2209,买,开仓,161160,1,撤单,4281.0,0,1,0,00:15:53,00:15:53,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1679,138411,？？？？？？？？′？？？,173975,000000026113,SHFE,ni2209,ni2209,买,开仓,161130,1,撤单,4281.0,0,1,0,00:15:51,00:15:51,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1678,138411,？？？？？？？？′？？？,173961,000000026097,SHFE,ni2209,ni2209,买,开仓,161170,1,撤单,4281.0,0,1,0,00:15:49,00:15:50,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1677,138411,？？？？？？？？′？？？,173957,000000026081,SHFE,ni2209,ni2209,买,开仓,161130,1,撤单,4281.0,0,1,0,00:15:48,00:15:49,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
1676,138411,？？？？？？？？′？？？,173954,000000026065,SHFE,ni2209,ni2209,买,开仓,161180,1,撤单,4281.0,0,1,0,00:15:47,00:15:48,, ,--,--,--,投机,GFD,套利[C34],,,ni09-08:Spread[C34],普通,138411,,,,InfiniV8_1,3,-290971658,
